NOC,GoldMedalCount
USA,2638
URS,1082
GER,745
GBR,678
ITA,575
FRA,501
SWE,479
CAN,463
HUN,432
GDR,397
RUS,390
NOR,378
CHN,350
AUS,348
NED,287
JPN,247
KOR,221
FIN,198
DEN,179
SUI,175
CUB,164
ROU,161
FRG,159
IND,138
YUG,130
EUN,127
POL,117
ESP,110
BRA,109
AUT,108
BEL,98
ARG,91
NZL,90
TCH,81
GRE,62
CRO,58
BUL,54
UKR,47
CZE,42
PAK,42
TUR,40
JAM,38
KEN,34
RSA,32
URU,31
MEX,30
BLR,24
NGR,23
ETH,22
ANZ,20
CMR,20
KAZ,20
IRI,18
ZIM,17
PRK,16
SRB,15
SVK,15
BAH,14
EST,13
FIJ,13
SCG,12
INA,11
UZB,10
IRL,9
THA,9
GEO,8
SLO,8
AZE,7
EGY,7
TTO,7
LTU,6
MAR,6
ALG,5
COL,5
LUX,4
POR,4
CHI,3
DOM,3
LAT,3
TPE,3
TUN,3
ARM,2
LIE,2
MGL,2
UGA,2
VEN,2
BDI,1
BRN,1
CIV,1
CRC,1
ECU,1
GRN,1
HAI,1
HKG,1
IOA,1
ISR,1
JOR,1
KOS,1
MOZ,1
NEP,1
PAN,1
PER,1
PUR,1
SGP,1
SUR,1
SYR,1
TJK,1
UAE,1
VIE,1
